"lang"
{
	"Language"		"English"
		"DOTA_Tooltip_ability_special_bonus_unique_bratishkin_2" "-{s:bonus_AbilityCooldown} сек. перезарядки АСУ"
		"DOTA_Tooltip_ability_special_bonus_unique_bratishkin_1" "+{s:bonus_damage} к урону от СЕКУНДУ"
		"DOTA_Tooltip_ability_bratishkin_e" "BANWORD"
		"DOTA_Tooltip_ability_bratishkin_e_description" "CHANNELING - Vovan condemns his own statements and hides in a box in which he is unstickable and attacks all enemies near him in a radius of %radius% with his attack speed."
		"DOTA_Tooltip_ability_bratishkin_e_radius" "RADIUS:"
		"DOTA_Tooltip_ability_bratishkin_e_channel_duration" "DURATION:"
		"DOTA_Tooltip_ability_bratishkin_e_scepter_description" "The hero can move while casting ability."
		"DOTA_Tooltip_modifier_bratishkin_q_knight" "Righteous Form"
		"DOTA_Tooltip_modifier_bratishkin_q_knight_description" "Armor and attack range increased, movement and attack speed decreased"
		"DOTA_Tooltip_modifier_bratishkin_q_base_root" "Rooted"
		"DOTA_Tooltip_modifier_bratishkin_e_primary" "BANWORD"
		"DOTA_Tooltip_modifier_bratishkin_e_primary_scepter" "BANWORD"
		"DOTA_Tooltip_ability_bratishkin_r" "TWITCH BOSS"
		"DOTA_Tooltip_ability_bratishkin_r_description" "As the Twitch boss, Bratishkin has the ability to influence the reputation of a target enemy by placing an effect on them that causes them to receive more damage from Bratishkin.\nEffects stack and last for the entire game."
		"DOTA_Tooltip_ability_bratishkin_r_bonus_dmg_pct" "%DOP. HERO DAMAGE PER EFFECT:"
		"DOTA_Tooltip_modifier_bratishkin_r_debuff" "Boss"
		"DOTA_Tooltip_modifier_bratishkin_r_debuff_description" "Receives %dMODIFIER_PROPERTY_TOOLTIP%%% more damage from Bratishkin"
		"DOTA_Tooltip_ability_bratishkin_r_shard_description" "Every %attacks_needed% attack on an enemy hero will apply the ability effect to them."
		"DOTA_Tooltip_Facet_bratishkin_facet_knight" "VALOR"
		"DOTA_Tooltip_Facet_bratishkin_facet_knight_description" "In knight form, Bratishkin's attacks deal cleaving damage."
		"DOTA_Tooltip_ability_bratishkin_q_knight_Facet_bratishkin_facet_knight" "In knight form, Bratishkin's attacks deal cleaving damage."
		"DOTA_Tooltip_Facet_bratishkin_facet_base" "DOUBLE LEASH"
		"DOTA_Tooltip_Facet_bratishkin_facet_base_description" "In normal form, Bratishkin has a chance to double attack when attacking."
		"DOTA_Tooltip_ability_bratishkin_q_base_Facet_bratishkin_facet_base" "In normal form, Bratishkin will double attack when attacking and apply Root."
		"DOTA_Tooltip_modifier_bratishkin_w_fear" "Fear"

		"DOTA_Tooltip_ability_evelone_nose" "HUGE NOSE"
		"DOTA_Tooltip_ability_evelone_nose_Description" "Vadim's huge nose senses every enemy up to %cone_radius% away from him and reveals invisibility."
		"DOTA_Tooltip_ability_evelone_nose_cone_radius" "RANGE: "
		"DOTA_Tooltip_ability_evelone_nose_cone_angle" "VIEW ANGLE: "
		"DOTA_Tooltip_ability_evelone_r" "ANOTHER BAN"
		"DOTA_Tooltip_ability_evelone_r_Description" "Evelone is burning from another groundless ban of his channel and begins to hunt stupid twitch admins, arranging a dark night on the map and limiting their vision, receiving free movement, a bonus to movement speed, and also silencing all enemies in a %silence_radius% radius around him."
		"DOTA_Tooltip_ability_evelone_r_duration" "DURATION: "
		"DOTA_Tooltip_ability_evelone_r_bonus_movespeed" "%BONUS MOVEMENT SPEED: "
		"DOTA_Tooltip_ability_evelone_r_silence_radius" "SILENCE RADIUS: "
		"DOTA_Tooltip_ability_evelone_r_scepter_description" "When cast, the hero gains vision of the entire map for %vision_duration% sec."
		"DOTA_Tooltip_modifier_evelone_r" "Another ban"
		"DOTA_Tooltip_modifier_evelone_r_Description" "Evelone gains free movement, movement speed increased"
		"DOTA_Tooltip_ability_evelone_w" "DRUNKEN CHEAT"
		"DOTA_Tooltip_ability_evelone_w_Description" "Vadya starts a drinking party in the selected area, dealing critical damage in it, and intoxicated victims begin to miss attacks."
		"DOTA_Tooltip_ability_evelone_w_radius" "RADIUS: "
		"DOTA_Tooltip_ability_evelone_w_duration" "DURATION: "
		"DOTA_Tooltip_ability_evelone_w_crit_bonus" "%CRITICAL DAMAGE: "
		"DOTA_Tooltip_ability_evelone_w_miss_chance" "%MISS CHANCE: "
		"DOTA_Tooltip_modifier_evelone_w_smoke_buff" "Drunken Cheater"
		"DOTA_Tooltip_modifier_evelone_w_smoke_buff_Description" "Evelone crits all drunks, and drunks miss"
		"DOTA_Tooltip_ability_evelone_e" "COLLABORATOR"
		"DOTA_Tooltip_ability_evelone_e_Description" "Evelone decides to co-stream with the closest enemy in range, summoning an illusion of them near her. The illusion moves at increased speed." "DOTA_Tooltip_ability_evelone_e_duration" "LIFETIME:"
		"DOTA_Tooltip_ability_evelone_e_radius" "RADIUS:"
		"DOTA_Tooltip_ability_evelone_e_illusion_outgoing_tooltip" "%ILLUSION DAMAGE:"
		"DOTA_Tooltip_ability_evelone_e_illusion_incoming_damage_total_tooltip" "%ILLUSION DAMAGE:"
		"DOTA_Tooltip_ability_evelone_e_ms_illusion" "%ILLUSION BONUS MOVEMENT SPEED:"
		"DOTA_Tooltip_ability_special_bonus_unique_evelone_8" "{s:bonus_AbilityCharges} заряда ШОУМАТЧ"
		"DOTA_Tooltip_ability_special_bonus_unique_evelone_6" "+{s:bonus_attack_damage}% к урону от атак от ШОУМАТЧ"
		"DOTA_Tooltip_ability_special_bonus_unique_evelone_4" "+{s:bonus_duration} сек. жизни иллюзии от КОЛЛАБОРАТОР"
		"DOTA_Tooltip_ability_special_bonus_unique_evelone_7" "+{s:bonus_miss_chance}% к шансу промаха от ПЬЯНЫЙ ШУЛЕР"
		"DOTA_Tooltip_ability_special_bonus_unique_evelone_1" "+{s:bonus_illusion_outgoing_damage}% к урону иллюзий от КОЛЛАБОРАТОР"
		"DOTA_Tooltip_ability_special_bonus_unique_evelone_2" "+{s:bonus_bonus_movespeed}% к скорости от ОЧЕРЕДНОЙ БАН"
		"DOTA_Tooltip_ability_special_bonus_unique_evelone_5" "+{s:bonus_crit_bonus}% к крит. урону от ПЬЯНЫЙ ШУЛЕР"
		"DOTA_Tooltip_ability_special_bonus_unique_evelone_3" "+{s:bonus_duration} сек. к длительности ПЬЯНЫЙ ШУЛЕР"
		"DOTA_Tooltip_ability_evelone_q" "SHOWMATCH"
		"DOTA_Tooltip_ability_evelone_q_Description" "Evelone engages in a knife showmatch, dashing forward and damaging all enemies in his path. When Vadya hits an enemy with a knife, his armor is reduced for %duration% sec." "DOTA_Tooltip_ability_evelone_q_base_damage" "BASE DAMAGE:"
		"DOTA_Tooltip_ability_evelone_q_damage_tooltip" "%ATTACK DAMAGE:"
		"DOTA_Tooltip_ability_evelone_q_armor" "ARMOR REDUCTION:"
		"DOTA_Tooltip_ability_evelone_q_duration" "ARMOR REDUCTION DURATION:"
		"DOTA_Tooltip_ability_evelone_q_range" "RANGE:"
		"DOTA_Tooltip_ability_evelone_q_slowing" "%MOVEMENT SLOW:"
		"DOTA_Tooltip_ability_evelone_q_shard_description" "When an enemy hero is killed, the ability restores a charge (or resets the cooldown if talent not pumped)."
		"DOTA_Tooltip_modifier_evelone_q_debuff" "Showmatch"
		"DOTA_Tooltip_modifier_evelone_q_debuff_Description" "Your armor is reduced"
		"DOTA_Tooltip_Facet_evelone_facet_q" "HIGHLIGHT"
		"DOTA_Tooltip_Facet_evelone_facet_q_Description" "SHOWMATCH ability slows down enemy movement."
		"DOTA_Tooltip_ability_evelone_q_Facet_evelone_facet_q" "Ability slows down enemy movement."
		"DOTA_Tooltip_Facet_evelone_facet_e" "COLLABORATION OF THE YEAR"
		"DOTA_Tooltip_Facet_evelone_facet_e_description" "The ability COLLABORATE creates an illusion near the enemy, not Evelone."
		"DOTA_Tooltip_ability_evelone_e_Facet_evelone_facet_e" "The ability creates an illusion near the enemy, not Evelone."

		"DOTA_Tooltip_ability_peterka_r" "42 ATTACK"
		"DOTA_Tooltip_ability_peterka_r_Description" "Five summons a horde of 42 bros that run in the chosen direction, dealing damage to anyone they come across."
		"DOTA_Tooltip_ability_peterka_r_damage" "DAMAGE PER HIT: "
		"DOTA_Tooltip_ability_peterka_r_radius" "CROWD WIDTH: "
		"DOTA_Tooltip_ability_peterka_r_duration" "DURATION: "
		"DOTA_Tooltip_ability_peterka_r_distance" "RANGE: "
		"DOTA_Tooltip_ability_peterka_r_gold_per_hit" "GOLD PER HIT: "
		"DOTA_Tooltip_ability_peterka_r_stun_dur" "SLOW DURATION: "
		"DOTA_Tooltip_ability_peterka_r_slow" "%MOVEMENT SLOW: "
		"DOTA_Tooltip_ability_peterka_r_scepter_Description" "42-attacks on hit slow enemy movement by %slow%%% for %stun_dur% sec."
		"DOTA_Tooltip_modifier_peterka_r" "Slow"
		"DOTA_Tooltip_Facet_peterka_w" "MONEY CAN DO EVERYTHING"
		"DOTA_Tooltip_Facet_peterka_w_Description" "Peterka restores health for each coin picked up with the ability DO NOT TOUCH COINS."
		"DOTA_Tooltip_ability_peterka_w_Facet_peterka_w" "Peterka restores health equal to %heal%%% of the amount of coins picked up."
		"DOTA_Tooltip_Facet_peterka_r" "A HANDFUL OF GOLD"
		"DOTA_Tooltip_Facet_peterka_r_Description" "For each hit on an enemy hero with 42-attack, Fiver gains gold."
		"DOTA_Tooltip_ability_peterka_r_Facet_peterka_r" "For each hit on an enemy hero with 42-attack, Fiver gains %gold_per_hit% gold."
		"DOTA_Tooltip_ability_peterka_e" "AM I EMELYA?"
		"DOTA_Tooltip_ability_peterka_e_Description" "Peterka sits on the stove and after %chargeup_time% sec. rides out on it, taking with him all the enemies he encounters, stunning them and dealing damage at the end of the path." "DOTA_Tooltip_ability_peterka_e_charge_speed" "MOVEMENT SPEED: "
		"DOTA_Tooltip_ability_peterka_e_chargeup_time" "TIME TO MAX. ACCELERATION: "
		"DOTA_Tooltip_ability_peterka_e_max_distance" "MAX. RANGE: "
		"DOTA_Tooltip_ability_peterka_e_knockback_damage" "DAMAGE: "
		"DOTA_Tooltip_ability_peterka_e_stun_duration" "STUN DURATION: "
		"DOTA_Tooltip_ability_peterka_w" "NOT TOUCHING COINS"
		"DOTA_Tooltip_ability_peterka_w_Description" "Pyaterka automatically picks up all dirty coins in a radius, not touching them with your hands. \nAlso deals damage equal to %damage%%% of the total amount of gold picked up to all enemies in the radius."
		"DOTA_Tooltip_ability_peterka_w_radius" "RADIUS:"
		"DOTA_Tooltip_ability_peterka_w_damage" "%GOLD DAMAGE: "
		"DOTA_Tooltip_ability_peterka_q" "GIRL ON THE LIST"
		"DOTA_Tooltip_ability_peterka_q_Description" "Five summons a slut that stuns the enemy with her appearance and deals damage over time."
		"DOTA_Tooltip_ability_peterka_q_damage" "DAMAGE PER SECOND: "
		"DOTA_Tooltip_ability_peterka_q_stun_duration" "STUN DURATION: "
		"DOTA_Tooltip_modifier_peterka_q" "Girl on the list"
		"DOTA_Tooltip_modifier_peterka_q_Description" "You are stunned and will take damage when you exit the stun"
		"DOTA_Tooltip_modifier_peterka_e_debuff" "Am I Emelya?"
		"DOTA_Tooltip_modifier_peterka_e_debuff_Description" "You are being carried on a stove, and you are stunned"
		"DOTA_Tooltip_modifier_peterka_e_cast" "Am I Emelya?"
		"DOTA_Tooltip_modifier_peterka_e_cast_Description" "He is about to ride on a stove!"
		"DOTA_Tooltip_modifier_peterka_e_charge" "Am I Emelya?"
		"DOTA_Tooltip_modifier_peterka_e_charge_Description" "You ride on a stove, taking all enemies along the way with you"
		"DOTA_Tooltip_ability_peterka_shard" "LEAKAGE POCKET"
		"DOTA_Tooltip_ability_peterka_shard_Description" "Peterka throws 4 fake coins in a %radius% radius around himself.\nIf any hero except Peterka picks them up, instead of gold, he will take damage equal to %damage%%% of his current health.\nIf Peterka picks up the coin, a fake gold effect will appear above him."
		"DOTA_Tooltip_ability_peterka_shard_damage" "%DAMAGE FROM CURRENT HEALTH: "
		"DOTA_Tooltip_ability_peterka_innate" "MEME OF THE YEAR?"
		"DOTA_Tooltip_ability_peterka_innate_Description" "Peterka does not take damage from the Stariy Bog's YO ability. \nAlso, when picking up coins on his own, Peterka takes damage equal to %dmg%%% of his current health."
		"DOTA_Tooltip_ability_special_bonus_unique_peterka_2" "+{s:bonus_stun_duration} sec. AM I EMELYA? Stun"
		"DOTA_Tooltip_ability_special_bonus_unique_peterka_3" "+{s:bonus_damage} GIRL ON THE LIST Damage Per Second"
		"DOTA_Tooltip_ability_special_bonus_unique_peterka_4" "-{s:bonus_AbilityCooldown} sec. AM I EMELYA? Cooldown"
		"DOTA_Tooltip_ability_special_bonus_unique_peterka_5" "-{s:bonus_AbilityCooldown} sec. 42 ATTACK Cooldown"
		"DOTA_Tooltip_ability_special_bonus_unique_peterka_6" "Immune to effects during AM I EMELYA?"
		"DOTA_Tooltip_ability_special_bonus_unique_peterka_7" "+{s:bonus_damage} 42 ATTACK Damage"
		"DOTA_Tooltip_ability_special_bonus_unique_peterka_8" "Coins give the hero twice as much gold"
		"DOTA_Tooltip_ability_special_bonus_unique_peterka_8_Description" "Only when picking up coins with the ability NOT TOUCHING COINS"

		"DOTA_Tooltip_ability_rostik_q" "FIRECARD"
		"DOTA_Tooltip_ability_rostik_q_Description" "Rostik lights a firecracker that can be thrown at enemy heroes. \n\nWhen it hits, the firecracker will explode, stunning all enemies within %radius% and dealing damage to them, and the longer Rostik holds the firecracker, the more damage and stunning it will do. \n\nThe maximum effect of the explosion is achieved after %brew_time% sec., however, if you do not manage to throw the firecracker within %brew_explosion% sec, it will explode in Rostik's hands, dealing damage to him in the form of %fail_damage%%% of his max health."
		"DOTA_Tooltip_ability_rostik_q_max_stun" "MAX STUN: "
		"DOTA_Tooltip_ability_rostik_q_min_stun" "MIN STUN: "
		"DOTA_Tooltip_ability_rostik_q_max_damage" "MAX DAMAGE: "
		"DOTA_Tooltip_ability_rostik_q_min_damage" "MIN DAMAGE: "
		"DOTA_Tooltip_ability_rostik_q_radius" "EXPLOSION RADIUS: "
		"DOTA_Tooltip_ability_rostik_q_throw" "THROW A FIRECARD"
		"DOTA_Tooltip_ability_rostik_q_throw_Description" "Throw it away before it explodes!"
		"DOTA_Tooltip_ability_rostik_r" "TOP 1 EARTH SPIRIT"
		"DOTA_Tooltip_ability_rostik_r_Description" "Rostik once again proves that he is the best player in the world on Earth Spirit. He rolls into a boulder, which after a delay of %delay% sec. rolls in the chosen direction, dealing damage and slowing the enemy it hits."
		"DOTA_Tooltip_ability_rostik_r_speed" "SPEED: "
		"DOTA_Tooltip_ability_rostik_r_distance" "RANGE: "
		"DOTA_Tooltip_ability_rostik_r_damage" "DAMAGE: "
		"DOTA_Tooltip_ability_rostik_r_move_slow" "%MOVE SLOW: "
		"DOTA_Tooltip_ability_rostik_r_slow_duration" "SLOW DURATION: "
		"DOTA_Tooltip_modifier_rostik_r" "Top 1 Earth Spirit"
		"DOTA_Tooltip_modifier_rostik_r_slow" "Top 1 Earth Spirit"
		"DOTA_Tooltip_modifier_rostik_r_slow_Description" "Your movement speed has been reduced"
		"DOTA_Tooltip_ability_rostik_w" "I MADE THIS UP YO"
		"DOTA_Tooltip_ability_rostik_w_Description" "Rostik fires yo-lightning at the target area, where they will strike a random location for %duration% sec. When hitting an enemy, the you-lightning deals damage based on Rostik's intelligence. \nThere is also a %chance%%% chance that a micro you-lightning will fly out at the enemy, stunning them for %stun_duration% sec. and can jump to %jump_count% of enemies within %radius_jump% of them, dealing damage equal to %arc_damage_percent%%% of their max health."
		"DOTA_Tooltip_ability_rostik_w_duration" "DURATION: "
		"DOTA_Tooltip_ability_rostik_w_damage" "BASE DAMAGE: "
		"DOTA_Tooltip_ability_rostik_w_target_radius" "RADIUS: "
		"DOTA_Tooltip_ability_rostik_w_int_multi" "%INTELLIGENCE TO DAMAGE: "
		"DOTA_Tooltip_ability_rostik_w_blasts" "LIGHTNING BOLT NUMBER: "
		"DOTA_Tooltip_ability_rostik_w_chance" "%CHANCE OF MICRO LIGHTNING: "
		"DOTA_Tooltip_ability_rostik_e" "REAL VOICE"
		"DOTA_Tooltip_ability_rostik_e_Description" "Rostik stops pretending and starts speaking with his real voice, causing all of his attacks to be charged with electricity for %buff_duration% sec. and deal additional damage, slowing enemies." "DOTA_Tooltip_ability_rostik_e_buff_duration" "EFFECT DURATION: "
		"DOTA_Tooltip_ability_rostik_e_duration" "SLOW DURATION: "
		"DOTA_Tooltip_ability_rostik_e_overload_aoe" "RADIUS: "
		"DOTA_Tooltip_ability_rostik_e_overload_move_slow" "%MOVEMENT SLOW: "
		"DOTA_Tooltip_ability_rostik_e_overload_attack_slow" "ATTACK SPEED SLOW: "
		"DOTA_Tooltip_ability_rostik_e_overload_damage" "DAMAGE: "
		"DOTA_Tooltip_ability_rostik_e_bonus_as" "BONUS SPEED ATTACKS: "
		"DOTA_Tooltip_ability_rostik_e_spirits_duration" "SPIRIT DURATION: "
		"DOTA_Tooltip_ability_rostik_e_spirits_damage" "SPIRIT DAMAGE: "
		"DOTA_Tooltip_ability_rostik_e_spirits_radius" "OSCILLATION RADIUS: "
		"DOTA_Tooltip_ability_rostik_e_spirits_slow" "%SPIRIT MOVEMENT SLOW: "
		"DOTA_Tooltip_ability_rostik_e_spirits_slow_duration" "SPIRIT SLOW DURATION: "
		"DOTA_Tooltip_ability_rostik_e_scepter_description" "When cast, spirits are created around the hero for %spirits_duration% sec. They swirl around him and explode on impact with an enemy hero, dealing damage and slowing them." "DOTA_Tooltip_modifier_rostik_e" "True Voice"
		"DOTA_Tooltip_modifier_rostik_e_Description" "Rostik's attacks are charged with lightning and slow enemies"
		"DOTA_Tooltip_modifier_rostik_e_debuff" "True Voice"
		"DOTA_Tooltip_modifier_rostik_e_debuff_Description" "Your movement and attack speed are reduced"
		"DOTA_Tooltip_ability_rostik_r_shard_description" "The hero leaves behind a fiery trail that deals damage to all enemies who step on it."
		"DOTA_Tooltip_ability_rostik_r_fire_duration" "FIRE TRAIL DURATION: "
		"DOTA_Tooltip_ability_rostik_r_fire_effect_duration" "BURN DURATION: "
		"DOTA_Tooltip_ability_rostik_r_fire_dps_tooltip" "BURN DAMAGE PER SECOND: "
		"DOTA_Tooltip_modifier_rostik_r_fire" "Top 1 Earth Spirit"
		"DOTA_Tooltip_modifier_rostik_r_fire_Description" "You are on fire and take damage over time"
		"DOTA_Tooltip_ability_skywrath_mage_ruin_and_restoration" "FREAK"
		"DOTA_Tooltip_Facet_rostik_e" "GRANDMASTER"
		"DOTA_Tooltip_Facet_rostik_e_Description" "Ability REAL VOICE increases attack speed."
		"DOTA_Tooltip_ability_rostik_e_facet_rostik_e" "The ability also increases the hero's attack speed."
		"DOTA_Tooltip_ability_rostik_r_Facet_rostik_r" "The hero is immune to status effects and cannot be targeted while rolling."
		"DOTA_Tooltip_Facet_rostik_r" "UNCOUNTERABLE"
		"DOTA_Tooltip_Facet_rostik_r_Description" "The hero is immune to status effects and cannot be targeted while using the TOP 1 EARTH SPIRIT ability."
		"DOTA_Tooltip_ability_special_bonus_unique_rostik_1" "+{s:bonus_overload_damage} REAL VOICE Damage"
		"DOTA_Tooltip_ability_special_bonus_unique_rostik_3" "+{s:bonus_chance}% Micro-yo-lightning Chance to Trigger"
		"DOTA_Tooltip_ability_special_bonus_unique_rostik_3_description" ""
		"DOTA_Tooltip_ability_special_bonus_unique_rostik_4" "+{s:bonus_buff_duration} sec. REAL VOICE Duration"
		"DOTA_Tooltip_ability_special_bonus_unique_rostik_5" "+{s:bonus_int_multi}% I MADE THIS UP YO Intelligence to Damage"
		"DOTA_Tooltip_ability_special_bonus_unique_rostik_6" "+{s:bonus_max_stun} sec. FIRECARD Max Stun"
		"DOTA_Tooltip_ability_special_bonus_unique_rostik_7" "+{s:bonus_AbilityCharges} TOP 1 EARTH SPIRIT Charge"
		"DOTA_Tooltip_ability_special_bonus_unique_rostik_7_description" ""
		"DOTA_Tooltip_ability_special_bonus_unique_rostik_8" "+{s:bonus_blasts} I MADE THIS UP YO Lightnings"
		"DOTA_Tooltip_ability_special_bonus_unique_rostik_8_description" ""

		"DOTA_Tooltip_ability_vihor_r" "MUSICAL BREAK"
		"DOTA_Tooltip_ability_vihor_r_Description" "Vikhorkov announces a musical break, and after 2 seconds begins to sing his main hit. All enemies within %radius% begin to slowly move towards the singer, attacking the closest enemy in the radius every second. At the same time, Vikhorkov himself cannot move and is immune to effects. When the song ends, all enemies in the radius receive damage and stun."
		"DOTA_Tooltip_ability_vihor_r_radius" "RADIUS:"
		"DOTA_Tooltip_ability_vihor_r_duration_to_explosion" "DURATION:"
		"DOTA_Tooltip_ability_vihor_r_damage" "EXPLOSION DAMAGE:"
		"DOTA_Tooltip_ability_vihor_r_stun_duration" "STUN DURATION:"
		"DOTA_Tooltip_modifier_vihor_r" "Music pause"
		"DOTA_Tooltip_modifier_vihor_r_Description" "You are unable to move, and all enemies in the radius are stunned and move towards you"
		"DOTA_Tooltip_modifier_vihor_r_debuff" "Music pause"
		"DOTA_Tooltip_modifier_vihor_r_debuff_Description" "You move towards a pleasant voice in a daze, and attack nearby enemies"
		"DOTA_Tooltip_ability_special_bonus_unique_vihor_1" "-{s:bonus_AbilityCooldown} sec cooldown FUEL"
		"DOTA_Tooltip_ability_special_bonus_unique_vihor_2" "+{s:bonus_damage_percent}% to LOBOTOMY damage"
		"DOTA_Tooltip_ability_special_bonus_unique_vihor_3" "+{s:bonus_damage} to INCOMING damage"
		"DOTA_Tooltip_ability_special_bonus_unique_vihor_4" "+{s:bonus_damage} to MUSICAL BREAK explosion damage"
		"DOTA_Tooltip_ability_special_bonus_unique_vihor_5" "+{s:bonus_radius} to MUSICAL BREAK radius"
		"DOTA_Tooltip_ability_special_bonus_unique_vihor_6" "+{s:bonus_damage} to damage from FUN"
		"DOTA_Tooltip_ability_special_bonus_unique_vihor_7" "-{s:bonus_AbilityChargeRestoreTime} sec. cooldown INCOMING"
		"DOTA_Tooltip_ability_special_bonus_unique_vihor_8" "MUSICAL BREAK deals damage from health"
		"DOTA_Tooltip_ability_special_bonus_unique_vihor_8_Description" "Enemies are damaged for {s:bonus_tick_damage}% of max health per second"
		"DOTA_Tooltip_ability_vihor_e" "FUN"
		"DOTA_Tooltip_ability_vihor_e_Description" "When hitting Vikhorkov, there is a %chance%%% chance that the enemy will turn into a chicken for a short time and take damage while laughing loudly."
		"DOTA_Tooltip_ability_vihor_e_hex_duration" "DURATION:"
		"DOTA_Tooltip_ability_vihor_e_damage" "DAMAGE:"
		"DOTA_Tooltip_ability_vihor_e_chance" "%CHANCE:"
		"DOTA_Tooltip_ability_vihor_e_tick_duration" "CURSE DURATION:"
		"DOTA_Tooltip_ability_vihor_e_shard_description" "This ability places a curse on an enemy for %tick_duration% seconds, dealing damage equal to the ability's damage every second."
		"DOTA_Tooltip_modifier_vihor_e_debuff" "Frenzy"
		"DOTA_Tooltip_modifier_vihor_e_debuff_Description" "You take periodic damage"
		"DOTA_Tooltip_ability_vihor_w" "LOBOTOMY"
		"DOTA_Tooltip_ability_vihor_w_Description" "Vikhorkov lobotomizes the enemy, causing the enemy to not understand what is happening to them. The enemy is dealt damage equal to %damage_percent%%% of their max health, and an illusion of the enemy is created in Vikhorkov's place, and he himself becomes invisible and teleports to the enemy. When exiting invisibility, the illusion disappears. When the illusion dies, the invisibility also disappears."
		"DOTA_Tooltip_ability_vihor_w_duration" "DURATION:"
		"DOTA_Tooltip_ability_vihor_w_damage_percent" "%DAMAGE FROM MAX HEALTH:"
		"DOTA_Tooltip_ability_vihor_w_illusion_outgoing_tooltip" "%ILLUSION DAMAGE:"
		"DOTA_Tooltip_ability_vihor_w_illusion_incoming_damage_total_tooltip" "%ILLUSION DAMAGE:"
		"DOTA_Tooltip_ability_vihor_q" "INCOMING"
		"DOTA_Tooltip_ability_vihor_q_Description" "Vikhorkov launches his brown serpent at the nearest enemy, slowing and dealing damage to them and all enemies within %radius%, and gaining flight and additional movement speed for %duration_fly% sec. based on jet thrust."
		"DOTA_Tooltip_ability_vihor_q_scepter_description" "The ability gains 2 charges and triggers on an additional target."
		"DOTA_Tooltip_ability_vihor_q_duration" "SLOW DURATION:"
		"DOTA_Tooltip_ability_vihor_q_blast_slow" "%MOVEMENT SLOW:"
		"DOTA_Tooltip_ability_vihor_q_damage" "DAMAGE:"
		"DOTA_Tooltip_ability_vihor_q_duration_fly" "FLIGHT DURATION:"
		"DOTA_Tooltip_ability_vihor_q_bonus_speed" "%BONUS MOVEMENT SPEED:"
		"DOTA_Tooltip_modifier_vihor_q_fly" "Underneath"
		"DOTA_Tooltip_modifier_vihor_q_fly_Description" "Hero's movement speed is increased and he can pass through obstacles"
		"DOTA_Tooltip_modifier_vihor_q_slow" "Slow"
		"DOTA_Tooltip_modifier_vihor_q_slow_Description" "You're in shit! Your movement speed is reduced"
		"DOTA_Tooltip_ability_vihor_e_Facet_vihor_heal" "The ability converts damage taken into healing."
		"DOTA_Tooltip_modifier_vihor_w" "Lobotomy"
		"DOTA_Tooltip_modifier_vihor_w_Description" "You are invisible, and when you exit invisibility, the enemy's illusion will disappear"
		"DOTA_Tooltip_Facet_vihor_heal" "FUN"
		"DOTA_Tooltip_Facet_vihor_heal_Description" "FUN"
		"DOTA_Tooltip_Facet_vihor_illusion" "SCHIZO"
		"DOTA_Tooltip_Facet_vihor_illusion_Description" "LOBOTOMY ability creates an additional non-vanishing illusion of the ability owner near the enemy."
		"DOTA_Tooltip_ability_vihor_w_Facet_vihor_illusion" "Creates an additional non-vanishing illusion of the ability owner near the enemy."
		"DOTA_Tooltip_ability_vihor_innate" "BEST DONATION"
		"DOTA_Tooltip_ability_vihor_innate_Description" "When near Papich, Vihorkov increases his health by %bonus_hp%%% if they are on the same team, and decreases it if they are on different teams."
		"DOTA_Tooltip_ability_vihor_innate_radius" "RADIUS:"

		"DOTA_Tooltip_ability_papich_q" "STUPID"
		"DOTA_Tooltip_ability_papich_q_Description" "Papach creates a wave of stupid questions that, when it hits enemies, deals magic damage to their brains, depending on Papich's max mana."
		"DOTA_Tooltip_ability_papich_q_shard_Description" "The ability silences enemies hit."
		"DOTA_Tooltip_ability_papich_q_damage_mana" "%DAMAGE FROM MAX MANA:"
		"DOTA_Tooltip_ability_papich_q_radius" "WIDTH:"
		"DOTA_Tooltip_ability_papich_q_total_damage" "BASE DAMAGE:"
		"DOTA_Tooltip_ability_papich_q_range_tooltip" "RANGE:"
		"DOTA_Tooltip_ability_papich_q_silence_duration" "SILENCE DURATION:"
		"DOTA_Tooltip_ability_papich_w" "ADEQUATE"
		"DOTA_Tooltip_ability_papich_w_Description" "Papizi creates a large dome in which he steals intelligence from each enemy based on their strength, and also reduces their speed attacks and movement, while increasing his own by the same amount. Enemies outside the dome cannot hit Papich."
		"DOTA_Tooltip_ability_papich_w_scepter_Description" "The dome increases its radius and begins to additionally steal enemy strength, converting half of what is stolen into intelligence for Papich."
		"DOTA_Tooltip_ability_papich_w_radius" "RADIUS:"
		"DOTA_Tooltip_ability_papich_w_duration" "DURATION:"
		"DOTA_Tooltip_ability_papich_w_attack_speed_bonus" "ATTACK SPEED DECREASE:"
		"DOTA_Tooltip_ability_papich_w_intellect_steal_pct" "%INTELLIGENCE STEALED FROM STRENGTH:"
		"DOTA_Tooltip_ability_papich_w_slow" "%MOVEMENT SLOW"
		"DOTA_Tooltip_ability_papich_q_clone" "CATCH UP"
		"DOTA_Tooltip_ability_papich_q_clone_Description" "Maniac leaps forward, tethering the first victim it comes across, and when it hits an enemy, it releases daggers around itself, dealing damage to all enemies within %end_damage_radius% and inflicting bleeding on them for %blood_duration% sec., dealing %blood_damage%%% pure damage from current health per second." "DOTA_Tooltip_ability_papich_q_clone_pounce_distance" "RANGE:"
